Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Machine Learning Engineer,"$117,711 /yr (est.)","Job Information
Number of Positions
1
Industry
Technology
Work Experience
0-1 year
Remote Job",4.0,"LeewayHertz
4.0","San Francisco, CA",51 to 200 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Data Scientist Machine Learning Engineer,"$99,847 /yr (est.)","Primary Responsibilities to Include:
Design, develop, train and verify machine learning models to solve complex real-world problems.
Deliver high quality software design, documentation and implementation that meet defined requirements.
Collaboration with the rest of development team to integrate machine learning into product workflows.
Implement and enhance test automation and Continuous Integration/Contiguous Delivery of machine learning models.
Experience required :
2 years of hands-on experience of developing machine learning models.
2-4 years of professional software development experience.",4.2,"Plasma Computing Group
4.2","Dallas, TX",51 to 200 Employees,2003,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)
Data Scientist - Batteries,-1,"Summary
Posted: Dec 15, 2022
Role Number:200446445
Do you have a passion for invention and self-challenge? Do you thrive on pushing the limits of what’s considered feasible? As part of our Battery Engineering group, you’ll help craft creative battery solutions that deliver more energy in smaller spaces than ever before! We work across subject areas to transform improved hardware elements into a single, integrated design. Join us, and you’ll help us innovate new battery technologies that continually outperform the previous iterations. By collaborating with other product development groups across Apple, we push the industry boundaries of what batteries can do and improve the product experience for our customers across the world! This position works within a multi-functional team supporting the entire Battery Department to identify trends, mine data, and help the battery team improve performance.",4.2,"Apple
4.2","Cupertino, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Senior Data Scientist,"$125,075 /yr (est.)","Job Summary

Applies highly complex statistical techniques to help solve problems. Provides insights and actionable recommendations to the business. Utilizes highly complex statistical modeling to make predictions about future outcomes and in multiple scenarios. Explains findings to business audience.

Job Responsibilities
Responsible for applying highly complex advanced data analysis tools and techniques to provide insights and actionable recommendations for the business
Utilizes highly complex statistical modeling to make predictions about future outcomes and in multiple scenarios.
Interprets and applies data in highly-complex analyses, and explains findings to business audiences to improve products and processes.



About Walgreens Boots Alliance

Walgreens Boots Alliance (Nasdaq: WBA) is a global leader in retail pharmacy, impacting millions of lives every day through dispensing medicines, and providing accessible, high-quality care. With more than 170 years of trusted healthcare heritage and innovation in community pharmacy, the company is meeting customers’ and patients’ needs through its convenient retail locations, digital platforms and health and beauty products.

Including equity method investments, WBA has a presence in more than 25 countries, employs more than 450,000 people and has more than 21,000 stores.

WBA’s purpose is to help people across the world lead healthier and happier lives. The company is proud of its contributions to healthy communities, a healthy planet, an inclusive workplace and a sustainable marketplace. WBA is a participant of the United Nations Global Compact and adheres to its principles-based approach to responsible business.

WBA is included in FORTUNE’s 2021 list of the World’s Most Admired Companies*. This is the 28th consecutive year that WBA or its predecessor company, Walgreen Co., has been named to the list.

More company information is available at www.walgreensbootsalliance.com.",3.1,"WALGREENS
3.1","Chicago, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,$10+ billion (USD)
Associate Data Scientist,"$95,000 /yr (est.)","The Role
We are seeking a motivated and analytical individual to join our team as an Associate Data Scientist. In this role, you will help Polco leverage data to drive impact and provide direction and insight internally and externally while also helping to manage our clients’ custom research needs. You will be responsible for data exploration, collection, and cleaning as well as analysis across a wide range of projects; some directly helping customers, others helping partners, and some helping to support business decisions and improve performance. As an Associate Data Scientist, you will work with a team of experienced professionals in a collaborative environment to analyze datasets and apply advanced statistical methods to solve complex problems.
Key Responsibilities",4.8,"Polco
4.8",Remote,51 to 200 Employees,-1,Company - Private,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable
AI Machine Learning Scientist Associate,"$114,603 /yr (est.)","Location: Hybrid Work environment in Surrounding Chicago, New York City, or New Jersey Area
Hours: M- F Standard Working Hours
Travel: No Travel

Position Overview:
Responsible for junior level Artificial Intelligence (AI) scientific and statistical methods to assist with product creation, development and improvement.
How You Will Make an Impact:",3.7,"Elevance Health
3.7","Chicago, IL",10000+ Employees,2004,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
Data Scientist,"$94,895 /yr (est.)","EBSCO Information Services (EIS) provides a complete and optimized research solution comprised of e-journals, e-books, and research databases - all combined with the most powerful discovery service to support the information needs and maximize the research experience of our end-users. Headquartered in Ipswich, MA, EIS employs more than 2,700 people worldwide, most now working hybrid or remotely. We are the leader in our field due to our cutting-edge technology, forward-thinking philosophy, and outstanding team. EIS is a company that will motivate you, inspire you, and allow you to grow. Our mission is to transform lives by providing relevant and reliable information when, where, and how people need it. We are looking for bright and creative individuals whose unique differences will allow us to achieve this inclusive mission around the world.

This role can be performed 100% remotely. After initial onboarding, there may be optional opportunities to travel to Ipswich MA for Agile planning sessions, in-person training, or development workshops.",3.9,"EBSCO Information Services
3.9",Massachusetts,1001 to 5000 Employees,1984,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 billion (USD)
Machine Learning Engineer,"$165,350 /yr (est.)","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

The Opportunity
Adobe is looking for a Machine Learning Engineer who has an expertise in software engineering and machine learning. In this role, you will partner with the business units to build and scale data products that address challenging business problems for Adobe’s enterprise customers.
Research, develop, and deploy large-scale machine learning solutions for business.

What you’ll Do
Work closely with data scientists, engineers, researchers, and product managers to build AI/ML solutions and Experimentation on Adobe Experience Platform
Engage with customers to understand and anticipate how machine learning can solve their business problems
Work across organizational boundaries to align on priorities and drive projects forward
Promote accomplishments across the organization, blogs, and conferences

What you need to succeed
Ph.D. or M.S. degree in Computer Science, Electrical Engineering, Statistics, Applied Mathematics, or related fields.
Proficient in one or more programming languages such as Python, Java, or Scala.
In-depth knowledge of machine learning algorithms and their applications to business problems.
Proven ability in building, deploying, measuring, and maintaining machine learning models
Proven ability in building large-scale distributed ML pipelines.
Experience with scikit-learn, pandas, ml-lib.

Preferred Qualifications
Proven track record of delivering business solutions or production software.
Experience with Apache Spark, CosmosDB, Cassandra or similar.
Familiarity with a Deep Learning framework such as TensorFlow or PyTorch.
Our compensation reflects the cost of labor across several U.S. geographic markets, and we pay differently based on those defined markets. The U.S. pay range for this position is $116,800 -- $213,900 annually. Pay within this range varies by work location and may also depend on job-related knowledge, skills, and experience. Your recruiter can share more about the specific salary range for the job location during the hiring process.

At Adobe, for sales roles starting salaries are expressed as total target compensation (TTC = base + commission), and short-term incentives are in the form of sales commission plans. Non-sales roles starting salaries are expressed as base salary and short-term incentives are in the form of the Annual Incentive Plan (AIP).

In addition, certain roles may be eligible for long-term incentives in the form of a new hire equity award.",4.4,"Adobe
4.4","San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
Technical Associate I/Data Scientist,"$89,477 /yr (est.)","Information on MIT’s COVID-19 vaccination requirement can be found at the bottom of this posting.

TECHNICAL ASSOCIATE I/DATA SCIENTIST, Biological Engineering, to implement, design, and build supervised and unsupervised algorithms to predict human performance in behavioral, cognitive, and physical tasks from their molecular features as part of the data science and engineering team within the Fraenkel Lab. Technological advances in the acquisition of biological data over the past decade have resulted in an explosion of information. Computational integration of different data modalities remains a key challenge, however, for researchers aiming to understand the underlying spatial and temporal biological processes. Will address this challenge through the application of state-of-the-art machine learning tools with the goal of generating new testable hypotheses. The main responsibilities include researching, designing, implementing, and comparing novel ML solutions within the multi-omics integration domain for predicting biological aptitude and/or other clinical outcomes; identifying and analyzing biological databases to develop novel feature solutions and develop automated processing tools; assisting with developing research publications and/or related novel intellectual property; and performing other duties as assigned.",4.4,"MIT
4.4","Cambridge, MA",10000+ Employees,1861,College / University,Colleges & Universities,Education,$1 to $5 billion (USD)
Associate Data Scientist,"$81,450 /yr (est.)","General information
All posting locations: USA-IL, , United States of America
Job Function: 16 - Digital
Date Published: 20-Mar-2023
Ref #: R-68013
Base Salary Range: $72,400.00 - $90,500.00
Target Total Cash Range: $86,880.00 - $108,600.00
Target total cash represents this role's annualized cash earning potential at target (base salary + target bonus). Target total cash is contingent on targeted company performance achievement and individual attainment of performance goals. Therefore, target total cash is not guaranteed earnings.",3.4,"Kraft Heinz Company
3.4",Illinois,10000+ Employees,2015,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Energy Data Science Co-op,"$92,554 /yr (est.)","Company Description

ABOUT:
A subsidiary of Veolia group, Veolia North America (VNA) offers a full spectrum of water, waste and energy management services, including water and wastewater treatment, commercial and hazardous waste collection and disposal, energy consulting and resource recovery. VNA helps commercial, industrial, healthcare, higher education and municipality customers throughout North America. Headquartered in Boston, Mass., Veolia North America has more than 10,000 employees working at more than 350 locations across the continent. Please visit our website www.veolianorthamerica.com

Job Description",3.8,"Veolia
3.8","Boston, MA",10000+ Employees,1853,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD)
Sr. Data Scientist,"$107,469 /yr (est.)","Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
NIKE is a technology company. From our flagship website and five-star mobile apps to developing products, managing big data and providing leading edge engineering and systems support, our teams at NIKE Global Technology exist to revolutionize the future at the confluence of tech and sport. We invest and develop advances in technology and employ the most creative people in the world, and then give them the support to constantly innovate, iterate and serve consumers more directly and personally. Our teams are innovative, diverse, multidisciplinary and collaborative, taking technology into the future and bringing the world with it.",4.1,"Nike
4.1","Beaverton, OR",10000+ Employees,1972,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,"$130,350 /yr (est.)","Work Mode:
Onsite
Responsibilities:
1.Join a highly skilled data science team to mine through data to identify data-driven opportunities in game production, publishing and live-ops
2.Work with large datasets and apply advanced analytic methods to solve challenging problems and to deliver scalable solutions.
3.Establish scalable, efficient, automated processes and provide end-to-end data products with large-scale data analysis, A/B testing, machine/deep learning model development, validation and serving.
4.Interact cross-functionally with various teams and provide actionable business insights for stakeholders.
5.Research new machine learning approaches.
1.Join a highly skilled data science team to mine through data to identify data-driven opportunities in game production, publishing and live-ops
2.Work with large datasets and apply advanced analytic methods to solve challenging problems and to deliver scalable solutions.
3.Establish scalable, efficient, automated processes and provide end-to-end data products with large-scale data analysis, A/B testing, machine/deep learning model development, validation and serving.
4.Interact cross-functionally with various teams and provide actionable business insights for stakeholders.
5.Research new machine learning approaches.
1.MS/PhD degree in a quantitative field - Computer Science, Operational Research, Mathematics, Statistics, Economics or related fields. Ph.D. with Strong publication record preferred;2.3+ years of experience of building machine learning models for business applications;3. Deep and extensive knowledge in one or more of the following areas: Deep Learning, Reinforcement Learning, Statistical Analysis, NLP, Computer Vision, Recommendation System, Big Data technologies, and any other data science related domains.4.Expert in statistical analysis (probabilities, hypothesis testing, multivariate analysis, time series analysis, generalized linear model, A/B experiments) ;5.Proficient in SQL and Python, Java, C++ or related programming languages;6.Experience with Big Data technologies such as Hadoop, Spark, Pig, Hive, etc. is preferred.7.Ability to understand complex subjects clearly and proposing actionable data-driven solutions to them. Good business acumen and communication skills is a plus.

California
The base pay range for this position in the state(s) above is $81,400 to $179,300 per year. Actual pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign on payment, relocation package, and restricted stock units may be provided as part of the compensation package, as well as other medical, financial, and/or other benefits, dependent on the specific position offered.",4.1,"Tencent
4.1","Palo Alto, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Machine Learning Engineer,"$155,000 /yr (est.)","About Loop
Loop's mission is to simplify logistics payments. Loop is building modern economic infrastructure to enable frictionless payments for one of the world's largest industries – logistics. Shippers, carriers and 3pls that onboard to Loop eliminate painful billing and payment errors – resulting in spending 4% less and an 80% increase in back office productivity. Loop's new logistics payment platform won't just change how people pay. It's going to fundamentally move logistics forward.
Loop has a product-obsessed team that enjoys building core infrastructure that impacts everyone. Investors include Founders Fund, 8VC, Susa Ventures, Flexport, and 50 industry leading angel investors. The team is made up of talented individuals from technology companies like Uber, Google, Flexport, Meta, Intuit and Rakuten – as well as traditional logistics companies like CH Robinson.
Techcrunch article about Loop.",3.6,"Loop
3.6","San Francisco, CA",51 to 200 Employees,2017,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Machine Learning Engineer,"$117,711 /yr (est.)","Job Information
Number of Positions
1
Industry
Technology
Work Experience
0-1 year
Remote Job",4.0,"LeewayHertz
4.0",,51 to 200 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Associate Research Analyst (Associate Data Scientist),"$79,904 /yr (est.)","PRIMARY PURPOSE
CNA is looking for Data Scientists/Analysts to join our Data Science Division (DSD). We are a collaborative team who provide data science expertise and support to the Department of the Navy and Department of Defense. We develop models and analytics to solve problems across all Navy domains, including aviation, surface warfare, undersea warfare, cyber, logistics, readiness, force generation, sustainment, acquisition, and cost modeling.

Our Data Scientists/Analysts work on projects involving large datasets and complex questions that demand advanced coding skills as well as statistical and modelling techniques. We are passionate about using our skills to help the Navy achieve its goals and stay ahead of adversaries. We are a team that enjoys working together to solve complex problems. Our work leverages agile project management techniques to support faster cycle times to insights and to develop analytic minimum viable products.

At CNA, we foster an inclusive culture that values diverse backgrounds and perspectives. Our flexible and engaging work environment encourages iterative and creative collaboration at every stage of the problem-solving process. We are committed to helping clients develop effective solutions to better manage their programs through scientific, data-driven approaches. We offer competitive salaries and benefits packages, including health insurance, retirement plans, and paid time off. We also offer opportunities for professional development and growth, including training and mentorship programs.

JOB DESCRIPTION AND/OR DUTIES
1. Under close supervision, conducts research and analysis that meets CNA’s quality standards on focused, structured questions. Can effectively apply standard, routine, and well-established analytic methodologies. With minimal direction and supervision, routinely produces analysis that is logical and traceable as well as objective and unbiased. Shows some analytic creativity.

2. Develops rudimentary institutional knowledge of primary clients/sponsors; their culture, organization, and issues.

3. Contributes productively and harmoniously to the work of others; treats everyone respectfully, professionally and fairly. Keeps others informed. Actively engages with colleagues and works with manager to identify opportunities for collaborations within team and division. Seeks out others working on similar topics.

4. Supports business development efforts and/or marketing activities by conducting background research and helping prepare materials under the direction of more experienced staff.

5. Limited interaction with sponsors/clients and their study POCs under the supervision of an experienced colleague.

6. Impact largely confined to individual project work.

7. Demonstrates basic, effective communication skills, both written and oral. Can effectively present work to colleagues and CNA managers.

8. Works under close supervision on focused, well-structured pieces of projects.

9. Exhibits a positive attitude in interactions with colleagues and clients/sponsors. Serves as an effective member of project or research team by supporting leadership as needed.

10. Performs other duties as assigned.
JOB REQUIREMENTS
Minimum Master’s degree in a statistics, data science, computer science or equivalent experience.

Typical minimum requirements Master’s & 0+ years of experience in research and analysis.

Facility with Microsoft Office applications (Excel, Word, Access, Powerpoint); Ability to manage databases; Ability to gather and organize information on policies, systems, problems, or procedures; Strong critical thinking and organizational skills; Basic knowledge of research techniques; Ability to plan and organize tasks effectively, both as an individual contributor and as a team member; Basic, effective communication skills.

Ability to obtain and maintain an Active Secret Security Clearance.

***Voluntary (but highly desired) document***
Please include a personal statement as part of your application. A personal statement is a chance for us to get to know you. The statement is your opportunity to share your goals, interests, influences and show us that you will be a valuable asset to our organization. Please click here for personal statement guidelines – Click here
Personal statements will not be used as an elimination criteria for this position. They will only be used to enhance a candidate’s application

CNA is committed to providing equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, religion, color, sex (including pregnancy, gender identity, and sexual orientation), parental status, national origin, age, disability, family medical history or genetic information, political affiliation, military service and protected veterans, or other non-merit based factors. In addition to federal legal requirements, CNA complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. These protections extend to all terms and conditions of employment, including recruiting and hiring practices, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training and career development programs. For more information about EEO protections, please view the EEO is the law posters here: ""EEO is the Law"" Poster; ""EEO is the Law"" Poster Supplement. The pay transparency policy is available here: Pay Transparency Nondiscrimination Poster. To be considered for hire, all individuals applying for positions with CNA are subject to a background investigation. For positions requiring access to classified information, U.S. citizenship is required. Individuals will also be subject to an additional government background investigation, and continued employment eligibility is contingent upon the ability to obtain and maintain an active security clearance.",4.0,"CNA
4.0","Arlington, VA",501 to 1000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD)
Senior Data Scientist,"$175,500 /yr (est.)","At Nova Credit, our mission is to power a more fair and inclusive financial system for the world. Nova Credit’s diverse global team is stitching together the world's credit data into a single network to unlock financial opportunities for immigrants and other populations historically excluded from the credit system. We’ve built a platform that enables lenders to access a single, predictive cross-border credit database to help enable underwriting decisions. We are backed by leading investors, including Kleiner Perkins, General Catalyst, and Index Ventures, and are proud recipients of the following awards:

Forbes’ Best Startup Employers 2022
BuiltIn NYC's Best Places to Work 2022: Best Small Companies to Work For
Fast Company’s World’s Most Innovative Social Good Companies 2022

The Senior Data Scientist role will be part of the Data & Analytics team within Nova Credit, where you will play an essential role in researching, designing, and building out our global data science strategy. Applying your critical thinking and analytical skills to data, traditional statistical modeling, and modern machine learning techniques, you will serve as a conduit to bring key functions together-including data partnerships, risk and analytics, product, engineering, and customer success-to develop and implement our core data systems. Working closely with our customer-facing teams, you will demonstrate the strength of our products and services through data analytics and insights. Ultimately, your role is to ensure that Nova Credit’s products deliver high-quality predictive risk signals; every initiative you work on will be critical for the company’s success!",4.5,"Nova Credit
4.5","New York, NY",51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Machine Learning Engineer,"$152,650 /yr (est.)","The Challenge:
Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning (ML), and artificial intelligence (AI) advances? In an increasingly connected world, massive amounts of structured and unstructured data open new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors from fraud detection to cancer research, to national intelligence, you know the answers are in the data.
We have an opportunity for you to use your analytical skills to improve the government's advanced analytics capabilities. You’ll work closely with your client to understand their questions and needs, and then dig into their data-rich environment to find the pieces of their information puzzle. You’ll develop algorithms, write scripts, build predictive analytics, apply ML and deep learning, and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help drive innovation, research, and development for our military and government leaders to make informed decisions. You’ll provide your client with a deep understanding of their data, what it all means, and how they can use it. Join us as we use data science for good in bringing decision support and innovation to our clients.

Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $93,300.00 to $212,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees.",4.2,"Booz Allen Hamilton
4.2","Bethesda, MD",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
Machine Learning Scientist (L5) - Globalization,"$142,830 /yr (est.)","Los Gatos, California
Data Science and Engineering
At Netflix, our mission is to entertain the world by connecting our members to an extensive library of stories from all over the globe. We are revolutionizing international storytelling as we deliver billions of hours of movies and TV shows per month to 200+ million members across 190+ countries in 30+ languages.

The Globalization Data Science and Engineering team is at the forefront of removing language barriers and providing a stellar member experience to all our members regardless of their language preferences. We are responsible for the translation and cultural adaptation of all aspects of member interaction, including beautiful localized user interfaces, subtitles, and dubbing of award-winning Netflix originals.

We are looking for an Applied Machine Learning Scientist to develop algorithms that power high quality localization at scale. In this rare opportunity, you will have the chance to solve novel problems that will shape the future of localization and global entertainment at Netflix. You will partner with a talented cross-functional team of language experts, scientists, product managers, and engineers to bring these algorithms to life.",4.3,"Netflix
4.3","Los Gatos, CA",5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD)
Associate Data Scientist,"$96,286 /yr (est.)","Job Summary:

Applies data analysis tools and techniques to provide insights and actionable recommendations for the business. Uses statistical modeling to make predictions about future outcomes in multiple scenarios to improve products & processes. May explain findings to business audience.

Job Responsibilities:
Responsible for applying data analysis tools and techniques to provide insights and actionable recommendations for the business. Uses statistical modeling to make predictions about future outcomes in multiple scenarios to improve products & processes. May explain findings to business audience.
Assists in executing statistical and mathematical analyses to support business decision making for multiple business functions.


About Walgreens and WBA

Walgreens (www.walgreens.com) is included in the U.S. Retail Pharmacy and U.S. Healthcare segments of Walgreens Boots Alliance, Inc. (Nasdaq: WBA), an integrated healthcare, pharmacy and retail leader with a 170-year heritage of caring for communities. WBA’s purpose is to create more joyful lives through better health. Operating nearly 9,000 retail locations across America, Puerto Rico and the U.S. Virgin Islands, Walgreens is proud to be a neighborhood health destination serving nearly 10 million customers each day. Walgreens pharmacists play a critical role in the U.S. healthcare system by providing a wide range of pharmacy and healthcare services, including those that drive equitable access to care for the nation’s medically underserved populations. To best meet the needs of customers and patients, Walgreens offers a true omnichannel experience, with fully integrated physical and digital platforms supported by the latest technology to deliver high-quality products and services in communities nationwide.




This job description is to be used as a guide for accomplishing Company and department objectives, and only covers the primary functions and responsibilities of the position. It is in no way to be construed as an all-encompassing list of duties",3.1,"WALGREENS
3.1","Deerfield, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,$10+ billion (USD)
"Data Scientist III, Product Analytics",-1,"If you need assistance during the recruiting process due to a disability, please reach out to our Recruiting Accommodations Team through the Accommodation Request form. This form is used only by individuals with disabilities who require assistance or adjustments in applying and interviewing for a job. This form is not for inquiring about a position or the status of an application.
Data Scientist III, Product Analytics
Are you excited by the opportunity to pioneer the future of travel? Do you want to redefine the way people plan, search for, and book their travel? At Expedia Group (EG), we believe that travel brings the world together, and we are passionate about endless possibilities. This role is a terrific opportunity to join the global Product Analytics and Experimentation team where we are user experience optimization obsessed! We power and deliver the use of industry-leading product analytics, user behavior, experimentation and visualization services and capabilities to enable highly tailored and optimized experiences that utilizescientific methods and applied insights.
The total cash range for this position in Seattle is $177,000.00 to $247,500.00. Employees in this role have the potential to increase their pay up to $283,000.00, which is the top of the range, based on ongoing, demonstrated, and sustained performance in the role.
Expedia iscommittedto creating an inclusive workenvironmentwith a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.",4.1,"Expedia Group
4.1","Chicago, IL",10000+ Employees,1996,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD)
Machine Learning Engineer,"$119,831 /yr (est.)","Are you looking for a supportive, collaborative workplace with great teams and inspiring leaders? You’ve come to the right place. We’re looking for ambitious people who share our values and want to make every day better for people around the world. If this sounds like you, and the career below sounds exciting, we’d like to hear from you.
Working Arrangement
Hybrid
Job Description
The Opportunity
We are seeking a skilled Machine Learning Engineer with a strong focus on developing end-to-end data science solutions on Azure platforms. The ideal candidate will have extensive experience in developing scalable and robust machine learning models, data pipelines, and insights visualization solutions using Azure technologies.







The annual base salary for this role in the primary location of Boston, Massachusetts is expected to be between $83,440.00 USD - $154,960.00 USD.
Manulife/John Hancock offers eligible employees a wide array of customizable benefits, including health, dental, mental health, vision, short- and long-term disability, life and AD&D insurance coverage, adoption/surrogacy and wellness benefits, and employee/family assistance plans. We also offer eligible employees various retirement savings plans (including pension/401(k) savings plans and a global share ownership plan with employer matching contributions) and financial education and counseling resources. Our generous paid time off program in the U.S. includes up to 11 paid holidays, 3 personal days, 112.5 hours of vacation, and 40 hours of sick time (or more where required by law) each year, and we offer the full range of statutory leaves of absence.
Company: John Hancock Life Insurance Company (U.S.A.)",3.9,"John Hancock
3.9","Boston, MA",1001 to 5000 Employees,1862,Subsidiary or Business Segment,Insurance Carriers,Insurance,$25 to $100 million (USD)
Senior Data Scientist - TS Clearance Required,"$131,400 /yr (est.)","Sr Data Scientist (up to 25% profit sharing benefit)
Job Category: Science
Time Type: Full time
Minimum Clearance Required to Start: TS/SCI with Polygraph
Employee Type: Regular
Percentage of Travel Required: Up to 10%
Type of Travel: Local
Eighty20Collective's team is at the forefront of developing and operating state-of-the-art of Geospatial Intelligence analysis software. The team builds and maintains an exceptionally powerful platform enabling our users to address challenging real-world problems by converting disparate data into actionable information. The team is deeply passionate about its mission and takes tremendous pride in our work. We work directly with operational users to design, develop, and maintain capabilities that empower analysts to create actionable intelligence from the massive volumes of Geospatial Intelligence data to give our intel and combat organizations the decision advantage over our near-peer adversaries.",-1,Eighty20 Collective,"Sterling, VA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Engineering Lead,-1,"Data Engineering Lead
Job Category: Information Technology
Time Type: Full time
Minimum Clearance Required to Start: TS/SCI with Polygraph
Employee Type: Regular
Percentage of Travel Required: Up to 10%
Type of Travel: Local
CACI’s is hiring a Data Engineering Lead in Northern Virginia! Join this passionate team of industry-leading individuals supporting Best Practices in Agile Software Development for the National Counterterrorism Center (NCTC) and Office of the Director of National Intelligence (ODNI).



Company Overview: At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other protected characteristic.",4.0,"CACI
4.0","Reston, VA",10000+ Employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD)
Principal Data Scientist,"$119,098 /yr (est.)","Job Summary:

Job Responsibilties:
Utilizes statistical modeling to make predictions about future outcomes and in multiple scenarios. Evangelizes new ideas / technologies / solutions to gain acceptance from a wide range of audiences.
Interprets and applies data in the most complex analyses and explains findings to business audiences to improve products and processes.
Sets the vision for manipulation and analysis of large and complex data sets.
Leads the development and execution of statistical and mathematical analyses to support business decisions enterprise wide or for multiple business functions. Analyses have substantial impact on business operations or outcomes.

About Walgreens and WBA

Walgreens (www.walgreens.com) is included in the U.S. Retail Pharmacy and U.S. Healthcare segments of Walgreens Boots Alliance, Inc. (Nasdaq: WBA), an integrated healthcare, pharmacy and retail leader with a 170 year heritage of caring for communities. WBA’s purpose is to create more joyful lives through better health. Operating nearly 9,000 retail locations across America, Puerto Rico and the U.S. Virgin Islands, Walgreens is proud to be a neighborhood health destination serving nearly 10 million customers each day. Walgreens pharmacists play a critical role in the U.S. healthcare system by providing a wide range of pharmacy and healthcare services, including those that drive equitable access to care for the nation’s medically underserved populations. To best meet the needs of customers and patients, Walgreens offers a true omnichannel experience, with fully integrated physical and digital platforms supported by the latest technology to deliver high quality products and services in communities nationwide.",3.1,"WALGREENS
3.1","Deerfield, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,$10+ billion (USD)
